Algorithm,Data Size (MB),Timing (ms)
blake3,16,5.846500396728516
blake3,16,5.9375762939453125
blake3,16,5.971670150756836
blake3,16,6.107330322265625
blake3,32,12.454748153686523
blake3,32,11.912822723388672
blake3,32,11.529922485351562
blake3,32,11.719942092895508
blake3,32,11.51728630065918
blake3,64,23.451805114746094
blake3,64,23.814678192138672
blake3,64,24.182796478271484
blake3,64,23.88596534729004
blake3,64,24.271011352539062
blake3,128,49.089908599853516
blake3,128,50.21309852600098
blake3,128,49.97897148132324
blake3,128,50.92597007751465
blake3,128,51.71561241149902
blake3,200,75.78682899475098
blake3,200,76.28726959228516
blake3,200,78.57298851013184
blake3,200,77.66461372375488
blake3,200,68.71223449707031
blake3,512,186.86628341674805
blake3,512,185.39142608642578
blake3,512,187.39914894104004
blake3,512,190.62399864196777
blake3,512,190.23513793945312
