OS,Hash,Round,RawTimes
macOS,sha256,round9,"[12609000, 9319000, 33791000, 16138000, 2300000, 58855000, 9254000, 28204000, 4005000, 54609000, 92348000, 19597000, 19873000, 35652000, 27002000]"
macOS,sha512,round1,"[164501000, 49036000, 12825000, 11080000, 12320000, 107294000, 15159000, 2818000, 41176000, 48717000, 21206000, 8674000, 62746000, 39538000, 13755000]"
macOS,sha512,round2,"[19135000, 10574000, 12601000, 40378000, 44044000, 30462000, 154423000, 28100000, 11438000, 6721000, 58307000, 64241000, 76909000, 69792000, 63542000]"
macOS,sha512,round3,"[20184000, 18999000, 1236000, 6202000, 9219000, 32387000, 15943000, 2413000, 58377000, 7757000, 16563000, 3078000, 56933000, 95557000, 19836000]"
macOS,sha512,round4,"[20971000, 35407000, 25992000, 49950000, 13471000, 27617000, 21170000, 103562000, 18867000, 11003000, 42412000, 52258000, 110476000, 84500000, 40976000]"
macOS,sha512,round5,"[71993000, 137730000, 45328000, 12489000, 10751000, 12320000, 97596000, 13068000, 2231000, 34696000, 40725000, 18343000, 7813000, 54202000, 6514000]"
macOS,sha512,round6,"[12284000, 16980000, 10106000, 13543000, 42062000, 49922000, 33618000, 46447000, 26211000, 11166000, 6283000, 56500000, 59317000, 79045000, 67638000]"
macOS,sha512,round7,"[61124000, 18928000, 20568000, 1230000, 5947000, 8822000, 32403000, 15917000, 2329000, 57459000, 7190000, 16532000, 2951000, 53083000, 96753000]"
macOS,sha512,round8,"[23248000, 25723000, 46107000, 30707000, 76750000, 15290000, 36134000, 25504000, 115278000, 20921000, 12062000, 44839000, 26835000, 124072000, 92489000]"
macOS,sha512,round9,"[43097000, 71004000, 142915000, 54319000, 13738000, 12247000, 13886000, 105901000, 13687000, 2298000, 36590000, 41518000, 18682000, 7885000, 56603000]"
Windows,blake2b,round1,"[208316200, 239473900, 203122100, 184105300, 71432300, 52580300, 14106000, 17382400, 31094000, 96917900, 55702100, 8508500, 199019600, 27018600, 55000400]"
Windows,blake2b,round2,"[10524100, 164007000, 286569900, 31527800, 29526600, 63580100, 43551200, 74653500, 21003700, 44599300, 40742400, 160721500, 31562900, 17979000, 77728100]"
Windows,blake2b,round3,"[40027600, 195885100, 126215000, 61071100, 106330900, 217046900, 72367900, 20017700, 17015800, 18103100, 156456000, 20034600, 4512700, 52968300, 62976500]"
Windows,blake2b,round4,"[28138200, 11045700, 81793000, 9059500, 20016700, 24024400, 17200500, 19052700, 65561200, 67564300, 47033300, 69102400, 38087000, 16547100, 9153000]"
Windows,blake2b,round5,"[85078700, 90113600, 113277300, 116274900, 84594700, 28527300, 26015200, 2000100, 7525600, 12531500, 48541500, 23563000, 2999300, 85210400, 10535000]"
Windows,blake2b,round6,"[25041300, 4022000, 79199200, 149448400, 27776900, 29765700, 53470900, 42442400, 74876400, 21117500, 46866600, 33728200, 182680300, 31625200, 16528600]"
Windows,blake2b,round7,"[67970100, 41248000, 176417700, 135913100, 62098100, 105749000, 215830800, 69770700, 18513600, 17703600, 19113600, 149365200, 19211100, 3052300, 56256700]"
Windows,blake2b,round8,"[58763000, 26656300, 11089200, 85266900, 9625300, 18228500, 25037400, 15418600, 18714900, 64023100, 71888400, 48075800, 70299400, 46077300, 16509200]"
Windows,blake2b,round9,"[11058800, 87905800, 98243600, 110683800, 97075300, 91355600, 28208800, 25787000, 1022200, 8556000, 12809800, 46149200, 23096200, 2998300, 85077800]"
Windows,blake2s,round1,"[200173700, 28495600, 16725900, 68579800, 37965900, 171997400, 131823100, 60118600, 106717400, 227483000, 67847200, 18444600, 17260700, 19030500, 142277600]"
Windows,blake2s,round2,"[20350700, 2999600, 53547500, 61587900, 26526100, 11510700, 81214200, 10523200, 18632700, 25129400, 16065100, 18098300, 61377600, 68267700, 51154800]"
Windows,blake2s,round3,"[65412400, 38884600, 17244500, 8755300, 86105600, 88914600, 128462500, 98305800, 85496500, 26122300, 24058200, 1993900, 8528400, 12026700, 46162600]"
Windows,blake2s,round4,"[23098400, 4006500, 84105200, 9732500, 23764600, 4563700, 83226800, 132117800, 28087900, 29516000, 55118000, 41505000, 76837400, 20025500, 43705300]"
Windows,blake2s,round5,"[30492100, 170859300, 29854600, 17129500, 89785500, 38046400, 161407200, 126459400, 61744600, 103429800, 206713200, 97483700, 17834700, 16173500, 17570400]"
Windows,blake2s,round6,"[156303900, 20105500, 3568000, 52977500, 59539100, 36950500, 11741500, 79222400, 10494000, 47564800, 26042200, 17057600, 20085600, 66345900, 71274700]"
Windows,blake2s,round7,"[51636900, 71101200, 38404300, 18084500, 9509900, 94779900, 93203700, 144892400, 94758600, 88811800, 30191800, 27532500, 2000700, 9511600, 15051100]"
Windows,blake2s,round8,"[47725100, 25027100, 4022100, 82362700, 9672400, 25064200, 4505900, 73867100, 136809000, 34003700, 30173900, 56672200, 60696800, 79697400, 20103800]"
Windows,blake2s,round9,"[43687500, 35130700, 161313000, 30526700, 17010400, 64120700, 38177700, 164082500, 131553700, 62666600, 101433600, 224985500, 67818700, 18132800, 19517600]"
Windows,blake3,round1,"[11011000, 18016600, 26045300, 14620000, 20018100, 62169200, 69201100, 56228000, 68539600, 38239700, 16509600, 10508400, 83110700, 88232000, 107611400]"
Windows,blake3,round2,"[98281400, 93322000, 29105800, 26214000, 1998400, 7509400, 15031600, 48185800, 25929500, 7506900, 87212400, 11033700, 23067800, 4505600, 79909600]"
Windows,blake3,round3,"[137124300, 30573400, 32076900, 55684500, 41077100, 82367700, 20845700, 44643900, 33561400, 205502500, 32953000, 17301000, 71400900, 39908300, 186508600]"
Windows,blake3,round4,"[138232800, 75764900, 116807200, 217894400, 71085900, 20019500, 17016000, 47620400, 156041200, 20580000, 2999300, 52734900, 60425600, 27333400, 12065000]"
Windows,blake3,round5,"[85693000, 9568400, 18073800, 26307000, 16353000, 16582000, 59506200, 68547200, 47418300, 81202800, 37792100, 16645000, 9506300, 80679100, 86144700]"
Windows,blake3,round6,"[105547800, 97106200, 83800600, 44104800, 26529400, 1997300, 8506400, 13517300, 48354100, 25065700, 5004400, 85940200, 9500200, 23631800, 5003100]"
Windows,blake3,round7,"[77486600, 134259600, 31550500, 31766000, 55699800, 42042200, 79680600, 20057300, 52511900, 33916300, 157596200, 29089800, 16017200, 64062700, 37148300]"
Windows,blake3,round8,"[172393600, 124929800, 65191300, 108667500, 476222200, 169161400, 42216800, 35029900, 45657200, 358465400, 48717700, 3502500, 104954200, 131182400, 62557800]"
Windows,blake3,round9,"[25502100, 186829500, 20697000, 45036700, 65196600, 34551000, 41809000, 139063300, 156129700, 157268800, 149937400, 85170200, 36541900, 19020300, 182387300]"
Windows,sha256,round1,"[10506300, 24231200, 4007200, 83160100, 143530200, 33861500, 29585600, 52894300, 41614100, 78398800, 20154100, 42682300, 33939500, 166043600, 26992900]"
Windows,sha256,round2,"[16300700, 91339800, 40649200, 168699200, 128378900, 64152700, 102742200, 210103300, 67839300, 19130300, 17115800, 19093700, 152553100, 21071800, 3008200]"
Windows,sha256,round3,"[53938100, 60413200, 28549400, 12508900, 84254600, 10086500, 19854800, 26065600, 16231200, 18105900, 63920100, 71742500, 51594700, 71240300, 40473900]"
Windows,sha256,round4,"[17168300, 9571100, 81050900, 91238000, 138709800, 96008400, 89749500, 27716200, 24598700, 2015900, 8529700, 12567200, 49474700, 24650500, 3261500]"
Windows,sha256,round5,"[84889900, 10025500, 26558100, 4511500, 77775000, 173233200, 31599600, 31475500, 54971500, 43576200, 78489700, 21910500, 49254400, 33250800, 163140500]"
Windows,sha256,round6,"[30002600, 16850300, 73296700, 38106000, 173710600, 129151700, 64403100, 106775600, 216732200, 71833900, 19577500, 18112900, 19060000, 148931000, 20657700]"
Windows,sha256,round7,"[3090200, 57328900, 63073700, 29068000, 11580300, 83185700, 10701000, 17672800, 25062300, 15129900, 18255600, 61107900, 70713100, 48643700, 68664700]"
Windows,sha256,round8,"[39145400, 19057800, 9592300, 81598100, 93420800, 104618800, 118510800, 91615500, 27774500, 28790700, 1021200, 8531600, 12102300, 46566000, 23610000]"
Windows,sha256,round9,"[3345400, 86873100, 10506300, 24249200, 4788600, 79242400, 143109100, 29961600, 32228100, 55429800, 48600200, 80539500, 21383400, 43403000, 32735200]"
Windows,sha512,round1,"[19026500, 153905900, 21080300, 2516400, 53393700, 62503600, 26960500, 11621800, 84251600, 9514200, 17994000, 24809900, 15062100, 19063500, 63766100]"
Windows,sha512,round2,"[67396600, 45494600, 65218700, 38590200, 17261900, 9510500, 85330700, 88276600, 134491400, 92341900, 86403400, 27089100, 26073500, 1976600, 8517800]"
Windows,sha512,round3,"[12549800, 46585800, 25366100, 6648600, 84950900, 9988900, 22081600, 4571100, 102484200, 137049200, 30586500, 30883100, 54376700, 39645900, 82434700]"
Windows,sha512,round4,"[21300600, 41690400, 32898400, 180838300, 29173600, 16517100, 63790800, 38707700, 160904600, 135683000, 68905500, 108698100, 229644200, 66755500, 18820000]"
Windows,sha512,round5,"[18068300, 19846300, 156381300, 19027000, 4477200, 54024200, 59557300, 26589500, 12566800, 83155400, 10598900, 18186700, 25826400, 15512300, 19289300]"
Windows,sha512,round6,"[78131700, 71156800, 50537600, 67417400, 37096000, 15600200, 9340900, 99863000, 119304200, 103681200, 97907800, 87567800, 27890100, 30583700, 1512400]"
Windows,sha512,round7,"[8522100, 12579600, 46475600, 22102200, 2985800, 81143400, 11035700, 43669500, 5000800, 81737000, 134758300, 30604600, 30538200, 52515500, 42201300]"
Windows,sha512,round8,"[74757000, 20265200, 41175800, 33846600, 159581600, 28542500, 16743200, 64001600, 37614900, 178473200, 187036600, 65242600, 120019700, 220025500, 71827500]"
Windows,sha512,round9,"[18068400, 16061200, 18018200, 153402300, 19016900, 3529400, 53189100, 64262800, 63636800, 12546100, 91996700, 10533900, 22029600, 26609600, 16030200]"
