Algorithm,Data Size (MB),Timing (ms)
blake2b,64,114.0897274017334
blake2b,64,115.52619934082031
blake2b,128,229.68697547912598
blake2b,128,228.4829616546631
blake2b,128,229.30288314819336
blake2b,128,228.36852073669434
blake2b,128,231.44245147705078
blake2b,200,358.51144790649414
blake2b,200,357.621431350708
blake2b,200,358.11781883239746
blake2b,200,358.03771018981934
blake2b,200,356.86731338500977
blake2b,512,916.327714920044
blake2b,512,910.7973575592041
blake2b,512,918.0986881256104
blake2b,512,916.632890701294
blake2b,512,916.8863296508789
blake3,1,0.3943443298339844
blake3,1,0.3743171691894531
blake3,1,0.3573894500732422
blake3,1,0.3554821014404297
blake3,1,0.36525726318359375
blake3,2,1.2507438659667969
blake3,2,1.1868476867675781
blake3,2,1.1649131774902344
blake3,2,0.7467269897460938
blake3,2,0.7152557373046875
blake3,4,1.9521713256835938
blake3,4,1.455068588256836
blake3,4,4.42051887512207
blake3,4,1.425027847290039
blake3,4,2.6853084564208984
blake3,8,4.015445709228516
blake3,8,3.44085693359375
blake3,8,3.7643909454345703
blake3,8,3.9930343627929688
blake3,8,3.2875537872314453
blake3,16,8.224010467529297
blake3,16,9.614706039428711
blake3,16,8.170127868652344
blake3,16,7.610321044921875
blake3,16,7.048845291137695
blake3,32,18.424272537231445
blake3,32,20.902156829833984
blake3,32,15.964984893798828
blake3,32,18.630027770996094
blake3,32,19.097089767456055
blake3,64,38.32054138183594
blake3,64,34.50798988342285
blake3,64,32.468557357788086
blake3,64,36.97538375854492
blake3,64,32.95397758483887
blake3,128,69.01669502258301
blake3,128,68.34959983825684
blake3,128,72.27969169616699
blake3,128,67.89827346801758
blake3,128,70.93572616577148
blake3,200,109.54737663269043
blake3,200,112.82134056091309
blake3,200,110.81814765930176
blake3,200,112.60008811950684
blake3,200,117.67101287841797
blake3,512,290.46034812927246
blake3,512,292.54889488220215
blake3,512,281.7666530609131
blake3,512,281.3715934753418
blake3,512,289.37673568725586
